item ID,titles,description,product_type,brand,dietary_considerations,flavor_profile,cost_tier,key_features,categories
12941,"Ferrero Nutella Spread, Chocolate Hazelnut, 2-Count 26.5-Ounce","This product is a two-pack of creamy chocolate hazelnut spread, ideal for spreading on bread, pancakes, or using as an ingredient in desserts.",chocolate hazelnut spread,Ferrero,['Vegetarian'],sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Cooking Ingredients, Sweets and Desserts"
12946,Japan Kracie Dodotto Tsubupyon Grape Flavor 2013 March NEW!! DIY Candy Happy Kitchen Kit,This is a DIY candy-making kit from Japan that allows users to create grape-flavored gummy candies in a fun and interactive way.,DIY candy kit,Kracie,['none'],sweet,Medium-Cost,"['DIY preparation', 'candy-making', 'grape flavor']",Sweets and Desserts
12960,Hinterland Trading Air Plant Tillandsia Bromeliads Terrarium Kit with Pebbles and Moss Great Little Houseplant,"This kit includes air plants, pebbles, and moss for creating a decorative terrarium, ideal for enhancing indoor spaces with minimal maintenance.",Terrarium Kit,Hinterland Trading,['Non-GMO'],N/A,Medium-Cost,"['Ready-to-assemble', 'Low-maintenance', 'Indoor use']",Miscellaneous
12965,"Bali's Best Coffee Candy, 5.3 Oz (150g) Bag with 42 Individually Wrapped Candies","A bag containing 42 individually wrapped hard candies infused with the rich flavor of coffee, perfect for on-the-go enjoyment or as a sweet treat for coffee lovers.",coffee candy,Bali's Best,['none'],sweet,Medium-Cost,"['individually wrapped', 'shelf-stable']","Sweets and Desserts, Coffee/Tea"
12991,Jelly Belly Very Cherry Jelly Beans (1 Pound Bag) - Red,"A one-pound bag of vibrant red jelly beans with a sweet and fruity very cherry flavor, perfect for snacking or sharing.",jelly beans,Jelly Belly,['Gluten-Free'],sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Sweets and Desserts"
12994,"Duchy Originals Organic Original Oaten Biscuits, 5.3-Ounce","These are organic oaten biscuits, crafted with wholesome ingredients, ideal for a crunchy snack or pairing with tea.",oaten biscuit,Duchy Originals,['Organic'],mildly sweet and nutty,High-Cost,"['shelf-stable', 'ready-to-eat']","Snacks, Health Foods"
13002,"Amy's Organic Minestrone Soup, 14.1-Ounce Cans (Pack of 12)","This product is a pack of twelve 14.1-ounce cans of organic minestrone soup, featuring a hearty blend of vegetables and pasta, perfect for a quick and nutritious meal.",minestrone soup,Amy's,"['Organic', 'Vegetarian']",savory,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Canned and Packaged Foods, Vegetables and Beans, Prepared and Ready-Made Meals"
13019,"Golden Malted Pancake &amp; Waffle Flour, Original, 33-Ounce Cans (Pack of 3)","A versatile baking mix designed for making light and fluffy pancakes and waffles, packaged in three 33-ounce cans for convenience.",pancake and waffle mix,Golden Malted,['none'],sweet,Medium-Cost,"['requires cooking', 'shelf-stable']","Cooking Ingredients, Breakfast Foods"
13026,Chocolate Tootsie Pops 60 pops,"A bag containing 60 chocolate-flavored lollipops with a chewy center, perfect for a sweet treat or party favor.",chocolate lollipop,Tootsie,[],sweet,Low-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Sweets and Desserts"
13051,"Caribou Coffee Mahogany, K-Cups for Keurig Brewers, 24-Count","Single-serve coffee pods designed for use with Keurig brewers, featuring a rich and robust flavor profile.",single-serve coffee pods,Caribou Coffee,"['Gluten-Free', 'Vegan']",rich,Medium-Cost,"['single-serving', 'ready-to-brew']",Coffee/Tea
13088,"Organic Valley Organic 1% Lowfat Chocolate Single Serve Milk, 8-Ounce Aseptic Cartons (Pack of 24)","This product is a pack of 24 single-serve, 8-ounce cartons of organic lowfat chocolate milk, ideal for on-the-go consumption or lunchboxes.",chocolate milk,Organic Valley,"['Organic', 'Low-Fat', 'Non-GMO']",sweet,Medium-Cost,"['ready-to-drink', 'single-serving', 'shelf-stable']","Beverages, Health-Conscious Options"
13095,"Lipton Black Tea, Bavarian Wild Berry, Premium Pyramid Tea Bags, 20-Count Boxes (Pack of 6)",This product is a pack of six boxes containing 20 premium pyramid tea bags of black tea infused with Bavarian wild berry flavor.,flavored black tea,Lipton,['low-calorie'],fruity,Medium-Cost,"['pyramid tea bags', 'bulk packaging']","Beverages, Coffee/Tea, Health-Conscious Options"
13117,Russel Stover Sugar Free Coconut 10 Oz. (2 Packs ),"This product consists of two 10-ounce packs of sugar-free coconut candy bars, offering a sweet treat without added sugar.",sugar-free candy,Russel Stover,"['Sugar-Free', 'Low-Sugar']",sweet,Medium-Cost,"['multi-pack', 'ready-to-eat', 'shelf-stable']","Sweets and Desserts, Health Foods, Dietary Specific Items"
13130,"G7 3-in-1 Instant Coffee, 50 Sachets","A convenient coffee option that combines coffee, sugar, and creamer in individual sachets for quick preparation.",instant coffee mix,G7,"['Gluten-Free', 'Non-GMO']",sweet,Medium-Cost,"['ready-to-drink', 'single-serving', 'shelf-stable']","Beverages, Coffee/Tea"
13132,"Side Mates Pilaf with Rice, Pasta, Garlic, and Herbs, 6 Ounce (Pack of 8)","A convenient mix of rice, pasta, garlic, and herbs designed to be a flavorful side dish, available in a pack of eight 6-ounce servings.",side dish mix,none,['Vegetarian'],savory,Medium-Cost,"['ready-to-eat', 'requires cooking', 'shelf-stable']","Canned and Packaged Foods, Grains and Pasta"
13141,"Choice Organic Lemon Lavender Mint Her Tea, 16 Count Box","A herbal tea blend featuring organic lemon, lavender, and mint, packaged in a 16-count box for a soothing and refreshing beverage.",herbal tea blend,Choice Organic,['Organic'],herbal,Medium-Cost,"['ready-to-brew', 'shelf-stable']","Beverages, Health Foods, Coffee/Tea, Health-Conscious Options"
13195,"Happy Creamies Organic Veggie and Fruit Snacks with Coconut Milk, (Strawberry, Raspberry and Carrot), 1 Ounce (Pack of 8)","These are organic, bite-sized veggie and fruit snacks made with coconut milk, featuring flavors of strawberry, raspberry, and carrot, designed specifically for babies and toddlers.",baby snack,Happy Creamies,"['Organic', 'Non-GMO']",sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Health Foods, Baby Food, Fruits and Vegetables"
13229,"Amazing Grass All Natural Drink Powder, Green Superfood, 8.5-Ounce Container","This product is a green superfood powder made from natural ingredients, designed to provide a convenient source of vitamins, minerals, and antioxidants to support overall health and wellness.",green superfood powder,Amazing Grass,"['Organic', 'Non-GMO']",earthy,Medium-Cost,"['shelf-stable', 'ready-to-eat']","Health Foods, Dietary Specific Items, Health-Conscious Options"
13281,Leimer Backerbsen / Soup Pearls ( 200 g ),"These small, crunchy dumplings are perfect for adding texture to soups and broths, enhancing their flavor and heartiness.",soup dumplings,Leimer,['Contains Gluten'],savory,Medium-Cost,"['shelf-stable', 'requires cooking']",Cooking Ingredients
13320,"Japanese Delight Seaweed Salad on the Go, 0.9-Ounce (Pack of 6)","This product is a convenient pack of ready-to-eat seaweed salad, perfect for a quick snack or side dish, featuring a blend of flavors typical of Japanese cuisine.",seaweed salad,none,['Low-Calorie'],umami,Medium-Cost,"['ready-to-eat', 'single-serving']","Snacks, Prepared and Ready-Made Meals, Ethnic and Specialty Foods"
13325,Tassimo Gevalia Peppermint Mocha Tdiscs (2 Pack) - Limited Edition,"This product includes two packs of limited edition single-serve coffee pods featuring a peppermint mocha flavor, designed for use with Tassimo brewing systems.",flavored coffee pod,Gevalia,['none'],sweet and minty,Medium-Cost,"['single-serving', 'compatible with Tassimo systems']","Beverages, Sweets and Desserts, Coffee/Tea"
13338,"AriZona Sugar Free Lemon Iced Tea Mix, 1.7 Ounce Tubs in Cannister","This product is a sugar-free powdered mix for making refreshing lemon iced tea, packaged in a convenient 1.7-ounce canister.",iced tea mix,AriZona,"['Sugar-Free', 'Low-Calorie']",tart,Medium-Cost,"['powdered mix', 'shelf-stable', 'easy to prepare']","Beverages, Health-Conscious Options"
13352,"Simply Organic Italian Seasoning Certified Organic, 0.95-Ounce Container",A blend of certified organic herbs and spices specifically formulated to enhance the flavor of Italian dishes.,Italian seasoning blend,Simply Organic,['Organic'],savory,Medium-Cost,"['shelf-stable', 'ready-to-use']",Cooking Ingredients
13372,"MAMA Instant Noodles Artificial Pork Flavor,30 Pkgs.x 2.12 Oz.(60g)","This product is a pack of instant noodles flavored with artificial pork, offering a quick and convenient meal option in individual servings.",instant noodles,MAMA,[],savory,Low-Cost,"['ready-to-eat', 'single-serving', 'shelf-stable']","Canned and Packaged Foods, Prepared and Ready-Made Meals"
13376,"Pamela's Products Mix, Biscuit and Scone, 13 Ounce","This 13-ounce baking mix is designed for creating delicious biscuits and scones, offering a convenient solution for homemade baked goods.",baking mix,Pamela's Products,['Gluten-Free'],savory,Medium-Cost,"['requires cooking', 'ready-to-eat']",Cooking Ingredients
13380,"Nutiva Organic Virgin Coconut Oil, 54-Ounce Containers (Pack of 2)","This product is a pack of two 54-ounce containers of organic virgin coconut oil, ideal for cooking, baking, and as a versatile ingredient in various recipes.",organic virgin coconut oil,Nutiva,"['Organic', 'Vegan', 'Non-GMO']",mildly sweet,Medium-Cost,"['shelf-stable', 'versatile']",Cooking Ingredients
13390,"Hershey's Easter Spring Treats Mega Mix (Kit Kat, Whoppers, Cadbury &amp; Reese's), 20-Ounce Packages (Pack of 3)","A variety pack of popular chocolate candies, including Kit Kat, Whoppers, Cadbury, and Reese's, perfect for Easter celebrations or sharing.",chocolate candy mix,Hershey's,['Contains Milk and Nuts'],sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Sweets and Desserts"
13423,"Maille Traditional Dijon Originale Hot Mustard, 9.7-Ounce Bottles (Pack of 12)","A pack of twelve 9.7-ounce bottles of classic Dijon mustard, known for its smooth texture and tangy flavor, ideal for enhancing sandwiches, dressings, and marinades.",Dijon mustard,Maille,['Gluten-Free'],tangy,Medium-Cost,"['shelf-stable', 'ready-to-eat']",Condiments and Sauces
13425,Raw Pepitas / No Shell Pumpkin Seeds (16oz bag),"These are raw, unshelled pumpkin seeds, often used in cooking, baking, or as a nutritious snack, rich in protein and healthy fats.",raw pumpkin seeds,none,"['Non-GMO', 'Gluten-Free', 'Vegan']",nutty,Medium-Cost,"['shelf-stable', 'ready-to-eat', 'versatile use']","Snacks, Cooking Ingredients, Health Foods, Nuts and Seeds, Health-Conscious Options"
13430,Y.S. Eco Bee Farms Raw Honey - 22 oz,"This is a jar of unprocessed honey, sourced from eco-friendly bee farms, ideal for sweetening beverages, baking, or as a natural topping for various dishes.",natural sweetener,Y.S. Eco Bee Farms,"['Organic', 'Non-GMO']",sweet,Medium-Cost,"['unprocessed', 'shelf-stable', 'natural topping', 'sweetening beverages', 'baking']","Cooking Ingredients, Sweeteners"
13453,"Fruit Slices ASSORTED Wrapped, 2.5 LB","A 2.5-pound assortment of individually wrapped gummy fruit slices in various flavors, perfect for snacking or sharing.",gummy fruit slices,none,[],sweet,Medium-Cost,"['individually wrapped', 'ready-to-eat']","Snacks, Sweets and Desserts"
13482,"Bruyerre Finest Belgian Chocolates Gift 1 Box, Pink or Blue [Packaging May Vary]","A beautifully packaged assortment of high-quality Belgian chocolates, available in pink or blue boxes, perfect for gifting.",gourmet chocolates,Bruyerre,['None'],sweet,Medium-Cost,"['beautifully packaged', 'ready-to-eat']","Sweets and Desserts, Gift Baskets and Food Gifts"
13488,"Carmelina Brands Italian Borlotti Beans (Cranberry Beans), 14.28-Ounce Units (Pack of 24)","A pack of 24 cans containing tender Italian Borlotti beans, also known as cranberry beans, perfect for adding protein and flavor to various dishes.",Italian Borlotti Beans,Carmelina Brands,"['High in Protein', 'High in Fiber', 'Non-GMO']",savory,Medium-Cost,"['ready-to-eat', 'shelf-stable', 'convenient']","Cooking Ingredients, Canned and Packaged Foods, Vegetables and Beans"
13516,"Side Mates Pearl Couscous, Roasted Garlic and Parsley, 6 Ounce (Pack of 8)","This product is a pack of eight 6-ounce servings of pearl couscous flavored with roasted garlic and parsley, ideal for quick and flavorful side dishes.",flavored pearl couscous,Side Mates,['Contains Wheat'],savory,Medium-Cost,"['ready-to-eat', 'shelf-stable', 'multi-serving']","Cooking Ingredients, Canned and Packaged Foods"
13519,"Tetley British Blend Premium Black, 80-Count Tea Bags, 7 Ounce, (Pack of 6)","This product contains six packs of premium black tea bags, with each pack containing 80 bags, perfect for brewing a rich and flavorful cup of tea.",premium black tea,Tetley,['none'],rich,Medium-Cost,"['shelf-stable', 'ready-to-brew']","Beverages, Specialty Foods, Coffee/Tea"
13527,Slim Jim Dare Chili Pepper Sticks (Pack of 24),"A pack of 24 spicy meat snacks made from beef, seasoned with chili pepper for a bold flavor.",spicy meat snack,Slim Jim,['High-Protein'],spicy,Low-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Canned and Packaged Foods"
13534,"Great River Organic Milling Organic Bread Flour Seven Grain, 5 Pound Bags (Pack of 4)","This product is a bulk pack of organic bread flour made from a blend of seven grains, ideal for baking nutritious bread.",organic bread flour,Great River Organic Milling,['Organic'],nutty,Medium-Cost,"['bulk pack', 'requires cooking', 'organic', 'made from a blend of grains']","Cooking Ingredients, Health Foods"
13537,Mount Hagen Freeze Dried Instant Coffee- 3.53 Oz Jars- 2 Pack,"This product includes two jars of premium freeze-dried instant coffee, providing a quick and convenient way to enjoy rich coffee flavor without the brewing process.",freeze-dried instant coffee,Mount Hagen,['Organic'],rich,Medium-Cost,"['ready-to-eat', 'shelf-stable', 'jar packaging']","Beverages, Coffee/Tea"
13544,"Big Tree Farms Organic Coconut Sugar, Blonde, 16-Ounce Pouches (Pack of 6)","A natural sweetener made from the sap of coconut blossoms, this organic coconut sugar is a healthier alternative to refined sugars, ideal for baking and cooking.",coconut sugar,Big Tree Farms,['Organic'],sweet,Medium-Cost,"['shelf-stable', 'packaged in pouches']","Health Foods, Sweeteners"
13558,"Slim Jim Giant Smoked Snacks, Tabasco, 0.97-Ounce Sticks (Pack of 24)","A pack of 24 spicy smoked meat sticks flavored with Tabasco, perfect for on-the-go snacking.",smoked meat stick,Slim Jim,['High-Protein'],spicy,Low-Cost,"['ready-to-eat', 'shelf-stable']",Snacks
13559,Smarties Candy~ Bulk 2 Lbs ~,"Colorful candy-coated chocolate treats in a bulk package, perfect for sharing or adding to desserts.",chocolate candy,Smarties Candy Company,['Gluten-Free'],sweet,Low-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Sweets and Desserts"
13583,"Campbell's Healthy Request Cream of Chicken Soup, 10.75 Ounce Cans (Pack of 24)","A pack of 24 cans of low-sodium cream of chicken soup, ideal for quick meals or as a base for recipes.",cream soup,Campbell's,['Low-Sodium'],savory,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Health Foods, Canned and Packaged Foods, Prepared and Ready-Made Meals"
13592,"Campbell's Chunky Grilled Steak Chili with Beans, 19 Ounce Cans (Pack of 12)","A pack of twelve 19-ounce cans containing a hearty chili made with grilled steak and beans, perfect for a quick meal option.",canned chili,Campbell's,['Contains Meat'],savory,Medium-Cost,"['ready-to-eat', 'shelf-stable', 'multi-pack']","Canned and Packaged Foods, Vegetables and Beans, Prepared and Ready-Made Meals"
13593,Trident Vitality Vigorate Gum with Vitamin C - 10/9 Piece Packs,"Chewing gum infused with Vitamin C designed to provide a refreshing taste while supporting overall vitality, available in multiple packs.",health-focused chewing gum,Trident,['Vitamin-Enriched'],refreshing,Medium-Cost,"['multi-pack', 'ready-to-eat']","Snacks, Health Foods, Health-Conscious Options"
13602,"Enjoy Life Plentils, Light Sea Salt, 4-Ounce","These are crispy, light sea salt-flavored lentil chips that serve as a nutritious, gluten-free snack option.",lentil chips,Enjoy Life,"['Gluten-Free', 'Non-GMO']",savory,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Health Foods, Health-Conscious Options"
13606,Brookside Dark Chocolate Acai with Blueberry 2 Pounds Resealable Bag [Misc.],A resealable bag containing a 2-pound assortment of dark chocolate-covered acai berries infused with blueberry flavor.,chocolate-covered fruit,Brookside,"['Non-GMO', 'Gluten-Free']",sweet,Medium-Cost,"['resealable bag', 'shelf-stable']","Snacks, Sweets and Desserts"
13610,"Great River Organic Milling Organic Specialty Flour Buckwheat, 50-Pounds","This is a bulk bag of organic buckwheat flour, ideal for gluten-free baking and cooking, providing a nutritious alternative to traditional wheat flour.",buckwheat flour,Great River Organic Milling,"['Organic', 'Gluten-Free']",earthy,Medium-Cost,"['Organic', 'Gluten-Free', 'bulk packaging', 'suitable for baking']","Cooking Ingredients, Health Foods, Grains and Pasta, Dietary Specific Items"
13628,"Montebello Organic Farfalle, Italian Macaroni, 16-Ounce Bag (Pack of 5)","This product is a bulk package of organic farfalle pasta, commonly known as bow-tie pasta, ideal for a variety of Italian dishes.",organic farfalle pasta,Montebello,['Organic'],neutral,Medium-Cost,"['requires cooking', 'shelf-stable']",Grains and Pasta
13633,"KIND Fruit &amp; Nut, Fruit &amp; Nut Delight, All Natural, Gluten Free Bars  1.4 oz. (Pack of 12)","These all-natural gluten-free bars feature a delicious combination of fruits and nuts, providing a convenient and nutritious snack option in a pack of twelve 1.4 oz bars.",nut and fruit bar,KIND,"['All Natural', 'Gluten-Free']",sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable', 'single-serving']","Snacks, Health Foods, Nuts and Seeds, Health-Conscious Options"
13650,Hinterland Trading Air Plant Tillandsia with Hanging Glass Globe and Seashells Kit Great Little Houseplant,"This kit includes a Tillandsia air plant housed in a decorative glass globe alongside seashells, making it an attractive and low-maintenance indoor houseplant option.",decorative air plant kit,none,[],none,Medium-Cost,"['low-maintenance', 'decorative', 'indoor use']",Miscellaneous
13667,100% Certified Organic Cardamom (Ground) 1.8 oz (51 grams) Pwdr,"This product is finely ground cardamom, a fragrant spice commonly used in both sweet and savory dishes, known for its aromatic flavor and health benefits.",ground spice,none,['Organic'],aromatic and sweet,Medium-Cost,"['finely ground', 'shelf-stable']",Cooking Ingredients
13676,Kellogg's Rice Krispies Treats Original Crispy Marshmallow Squares .78 oz Bars - 54 Bars,"These are individual bars made from crispy rice cereal and marshmallow, perfect for a quick snack or dessert.",marshmallow treat,Kellogg's,['Contains allergens'],sweet,Low-Cost,"['ready-to-eat', 'individually packaged', 'shelf-stable']","Snacks, Sweets and Desserts"
13704,"Lindt Excellence Extra Dark Chocolate 85% Cocoa, 3.5-Ounce Package","A rich and intense dark chocolate bar made with 85% cocoa, perfect for chocolate lovers seeking a high-quality gourmet treat.",gourmet chocolate,Lindt,"['Gluten-Free', 'Non-GMO', 'Vegan']","bitter, rich, intense",High-Cost,"['shelf-stable', 'ready-to-eat']","Sweets and Desserts, Specialty Foods"
13738,Knorr Chicken Bouillon Cubes 8 Count,"These are concentrated chicken-flavored cubes designed to dissolve in hot water, creating a quick and convenient broth for soups, stews, and other dishes.",bouillon cubes,Knorr,['Contains Sodium'],savory,Medium-Cost,"['shelf-stable', 'easy to use', 'concentrated flavor']",Cooking Ingredients
13752,"Haribo Gummi Candy, Strawberries, 5-Pound Bag",A large 5-pound bag of chewy strawberry-flavored gummy candies shaped like strawberries.,gummy candy,Haribo,['Contains Gelatin'],sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Sweets and Desserts"
13775,"Penta Ultra Purified Water, 0.5 Liter Bottles (Pack of 12)","This product consists of a pack of twelve 0.5-liter bottles of ultra-purified water, ideal for hydration on the go.",bottled water,Penta,['Purified'],neutral,Medium-Cost,"['single-serving', 'shelf-stable']",Beverages
13789,"Seattle's Best Level 3 Ground Blend Coffee, 12-Ounce (Pack of 2)","This product is a two-pack of 12-ounce bags of medium-roast ground coffee, designed for a rich and smooth flavor profile, perfect for brewing at home or in the office.",medium roast ground coffee,Seattle's Best,"['Gluten-Free', 'Vegan']",rich and smooth,Medium-Cost,"['ready-to-brew', 'bulk packaging']","Beverages, Coffee/Tea"
13792,Lyons Gold Label Tea 80 tea bags,"This product contains 80 tea bags of premium black tea, ideal for brewing a rich and flavorful cup of tea.",black tea,Lyons,"['Vegan', 'Gluten-Free']",bold,Medium-Cost,"['ready-to-brew', 'tea bags']","Beverages, Coffee/Tea"
13815,"Simply Organic Cilantro Certified Organic, 0.78-Ounce Container","This product is a 0.78-ounce container of certified organic cilantro flakes, ideal for adding fresh, herbal flavor to a variety of dishes.",dried herbs,Simply Organic,"['Organic', 'Gluten-Free', 'Vegan', 'Non-GMO']",savory,Medium-Cost,"['shelf-stable', 'ready-to-use']",Cooking Ingredients
13828,Sherpa Pink Himalayan Salt 25 Lbs Fine Grain,"This fine grain salt, sourced from the Himalayan mountains, is ideal for seasoning dishes and enhancing flavors with its mineral-rich profile.",Himalayan salt,Sherpa,"['Natural', 'Mineral-Rich']",savory,Medium-Cost,"['fine grain', 'shelf-stable']",Cooking Ingredients
13838,"Twinings Green Gunpowder Loose Tea Tin, 100 Gram","A premium loose green tea with a distinctive smoky flavor, packaged in a 100-gram tin for freshness and convenience.",loose green tea,Twinings,"['Non-GMO', 'Gluten-Free']",smoky,Medium-Cost,"['loose leaf', 'packaged in a tin', 'premium quality']",Coffee/Tea
13850,Keurig My K-Cup 2-Pack Reusable Coffee Filter Basket Replacement,"This product includes two reusable coffee filter baskets designed to work with Keurig coffee machines, allowing users to brew their favorite ground coffee instead of using pre-packaged K-Cups.",reusable coffee filter basket,Keurig,[],varied,Medium-Cost,"['reusable', 'compatible with Keurig machines', 'allows use of ground coffee']","Cooking Tools and Kitchen Goods, Coffee/Tea"
13856,"The Spice Hunter Lemon Peel, Granulated, 2.1-Ounce Jar","Granulated lemon peel adds a vibrant citrus flavor to dishes and is ideal for enhancing baked goods, marinades, and dressings.",granulated lemon peel,The Spice Hunter,"['Gluten-Free', 'Non-GMO']",tart,Medium-Cost,['shelf-stable'],Cooking Ingredients
13889,Mini Thattai,"A traditional Indian snack made from rice flour and spices, shaped into small discs and deep-fried until crispy.",crispy rice snacks,none,['Gluten-Free'],savory,Low-Cost,"['ready-to-eat', 'shelf-stable']",Snacks
13924,"Simply Organic Organic Grilling Seasons Chicken Seasoning Certified Organic, 2.26-Ounce Container",A blend of certified organic spices specifically formulated to enhance the flavor of grilled chicken dishes.,chicken seasoning,Simply Organic,"['Organic', 'Non-GMO', 'Gluten-Free']",savory,Medium-Cost,"['shelf-stable', 'ready-to-use']",Cooking Ingredients
13933,"Namaste Foods, Gluten Free Biscuits, Piecrust &amp; More, 48-Ounce Bags (Pack of 6)",A pack of six 48-ounce bags containing a gluten-free baking mix suitable for making biscuits and piecrust.,baking mix,Namaste Foods,['Gluten-Free'],neutral,Medium-Cost,"['requires cooking', 'shelf-stable']","Cooking Ingredients, Dietary Specific Items"
13946,"Frontier Cinnamon Powder, Korintje (a Grade) (3% Oil), 16 Ounce Bags (Pack of 2)","This product is a pack of two 16-ounce bags of high-quality Korintje cinnamon powder, known for its rich flavor and aromatic properties, ideal for baking and cooking.",gourmet spice,Frontier,['Natural'],sweet and spicy,Medium-Cost,"['shelf-stable', 'ready-to-use']",Cooking Ingredients
13958,"Keebler Jumbo Dark Fudge Sticks, 6.6 Ounce","These are large, chocolate-covered cookie sticks filled with a rich dark fudge, perfect for snacking or dessert.",chocolate cookie sticks,Keebler,['none'],sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable', 'single-serving']","Snacks, Sweets and Desserts"
13985,"Pepperidge Farm Chocolate Chunk Crispy Cookies, Sausalito Milk Chocolate Macadamia, 7.2-ounce (pack of 5)","A pack of five 7.2-ounce bags of crispy cookies featuring a blend of chocolate chunks and macadamia nuts for a sweet, crunchy snack.",crispy cookie,Pepperidge Farm,"['Contains Nuts', 'Contains Dairy']",sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Sweets and Desserts"
13997,"Bob's Red Mill Gluten Free Quick Cooking Oats, 32-Ounce Bags (Pack of 4)","These quick-cooking oats are gluten-free and come in a pack of four 32-ounce bags, making them a convenient option for a fast and healthy breakfast.",quick cooking oats,Bob's Red Mill,['Gluten-Free'],neutral,Medium-Cost,"['quick cooking', 'shelf-stable', 'bulk packaging']","Breakfast Foods, Health Foods, Grains and Pasta, Dietary Specific Items"
14014,"Krusteaz Raspberry Bars, 19-Ounce Boxes (Pack of 2)","These are pre-packaged baking mixes designed to create raspberry-flavored dessert bars, conveniently sold in two 19-ounce boxes.",baking mix,Krusteaz,[],sweet,Medium-Cost,"['ready-to-bake', 'shelf-stable']","Sweets and Desserts, Canned and Packaged Foods"
14019,Andes Peppermint Crunch Baking Chips 10oz - 2 Unit Pack,"These baking chips combine rich chocolate with crunchy peppermint pieces, making them ideal for adding a festive flavor to cookies, brownies, and other desserts.",baking chips,Andes,['Contains Dairy'],sweet,Medium-Cost,"['ready-to-use', 'shelf-stable']","Cooking Ingredients, Sweets and Desserts"
14041,"Tortuga Caribbean Six-Pack Mix, 4-Ounce Cake (Pack of 6)","A collection of six 4-ounce cakes featuring a variety of Caribbean flavors, perfect for gifting or enjoying as a dessert treat.",Caribbean cake assortment,Tortuga,['Contains gluten'],sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable']",Sweets and Desserts
14059,"Ghirardelli Chocolate Squares, Dark Collection Assortment, 8.48-Ounce Bags (Pack of 3)","This product includes three bags of assorted dark chocolate squares, offering a variety of rich chocolate flavors perfect for snacking or gifting.",dark chocolate assortment,Ghirardelli,"['Gluten-Free', 'Non-GMO']",rich,Medium-Cost,"['ready-to-eat', 'shelf-stable', 'assorted flavors']","Snacks, Sweets and Desserts"
14072,"Side Mates Pearl Couscous, Tuscan Medley, 6 Ounce (Pack of 8)","A versatile pantry staple, this pack of pearl couscous features a flavorful Tuscan medley, perfect for salads, side dishes, or as a base for various meals.",flavored couscous,Side Mates,['Vegetarian'],savory,Medium-Cost,"['requires cooking', 'shelf-stable']","Canned and Packaged Foods, Grains and Pasta"
14086,"Kool-Aid Invisible Watermelon Kiwi Unsweetened Soft Drink Mix, 0.13-Ounce Packets (Pack of 96)","A powdered drink mix that creates a flavored beverage with a unique watermelon and kiwi taste, designed to be mixed with water and contains no added sugars.",powdered drink mix,Kool-Aid,"['unsweetened', 'low-sugar']",sweet,Low-Cost,"['shelf-stable', 'single-serving', 'requires water']","Beverages, Health-Conscious Options"
14087,"Campbell's Spaghetti, 14.75 Ounce Cans (Pack of 12)","A pack of twelve 14.75-ounce cans containing ready-to-eat spaghetti in a savory sauce, perfect for a quick meal solution.",canned spaghetti,Campbell's,['Contains Gluten'],savory,Low-Cost,"['ready-to-eat', 'shelf-stable', 'multi-serving']","Canned and Packaged Foods, Prepared and Ready-Made Meals"
14088,"Hormel  Compleats Beef Steak &amp; Peppers with Savory Sauce and Noodles, 10-Ounce Microwavable Bowls (Pack of 6)","This product is a convenient microwavable meal featuring beef steak, peppers, savory sauce, and noodles, packaged in individual bowls for easy preparation and consumption.",microwavable meal,Hormel,[],savory,Medium-Cost,"['ready-to-eat', 'microwavable', 'single-serving']",Prepared and Ready-Made Meals
14105,"DoMatcha DoMatcha Organic 2nd Harvest Matcha, 2.82-Ounce","This product is a 2.82-ounce package of organic second harvest matcha, a finely ground green tea powder known for its rich flavor and health benefits.",matcha green tea powder,DoMatcha,['Organic'],earthy and slightly sweet,Medium-Cost,"['finely ground', 'organic', 'used in beverages']","Beverages, Health Foods"
14135,"Gerber Graduates Breakfast Buddies - Cherry Cereal, 4.5-Ounce (Pack of 8)","A convenient pack of eight 4.5-ounce servings of cherry-flavored cereal designed for toddlers, promoting independent eating and nutritious breakfast options.",toddler cereal,Gerber,['Non-GMO'],sweet,Medium-Cost,"['ready-to-eat', 'single-serving', 'shelf-stable']","Breakfast Foods, Baby Food"
14155,"KIND: The KIND Cube, Gift, Variety Pack (Pack of 20)","This pack contains a variety of 20 individually wrapped breakfast and cereal bars made with wholesome ingredients, perfect for on-the-go snacking or a quick breakfast option.",breakfast bars,KIND,"['Non-GMO', 'Gluten-Free']",sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Breakfast Foods, Health Foods, Gift Baskets and Food Gifts"
